"analysisId","analysisDescription","outcomeId","outcomeName","comparatorId","comparatorName","targetId","targetName","rr","ci95lb","ci95ub","p","target","comparator","targetDays","comparatorDays","eventsTarget","eventsComparator","logRr","seLogRr","llr"
1,"main",65,"[cbj] AKI",56,"[cbj] CT_non_Cont",55,"[cbj] CT_Cont",0.928315412186412,0.823576474480843,1.04618939201807,0.222956726563894,11926,11926,124846,124628,540,575,-0.0743837201217931,0.0610351217534384,0.743665765080436
1,"main",65,"[cbj] AKI",61,"[cbj] CT_non_Cont_gfr0",57,"[cbj] CT_Cont_gfr0",1.13709677419355,0.893607081943183,1.44873743633233,0.297267193211148,850,850,7718,7857,146,134,0.128478324773129,0.123262864380956,0.545657640382274
1,"main",65,"[cbj] AKI",62,"[cbj] CT_non_Cont_gfr30",58,"[cbj] CT_Cont_gfr30",1.02127659574469,0.768212074439524,1.35809154424618,0.884833904927523,950,950,9352,9316,105,98,0.0210534091978383,0.145352130906229,0.0105265101899192
1,"main",65,"[cbj] AKI",63,"[cbj] CT_non_Cont_gfr45",59,"[cbj] CT_Cont_gfr45",1.02702702702703,0.7453676954814,1.41576572779697,0.870561074658352,1337,1337,13847,13891,79,74,0.0266682470821678,0.163663253904203,0.0133337284234472
1,"main",65,"[cbj] AKI",64,"[cbj] CT_non_Cont_gfr60",60,"[cbj] CT_Cont_gfr60",1.05240174672489,0.878285537182813,1.26138703559348,0.580213178275058,8611,8611,91624,91950,246,237,0.0510749299364187,0.0923474781381985,0.153208137413571
1,"main",4169984,"Scar",56,"[cbj] CT_non_Cont",55,"[cbj] CT_Cont",NA,NA,NA,NA,11926,11926,128712,128757,0,0,NA,NA,NA
1,"main",4169984,"Scar",61,"[cbj] CT_non_Cont_gfr0",57,"[cbj] CT_Cont_gfr0",NA,NA,NA,NA,850,850,8952,8927,0,0,NA,NA,NA
1,"main",4169984,"Scar",62,"[cbj] CT_non_Cont_gfr30",58,"[cbj] CT_Cont_gfr30",NA,NA,NA,NA,950,950,10143,10063,0,0,NA,NA,NA
1,"main",4169984,"Scar",63,"[cbj] CT_non_Cont_gfr45",59,"[cbj] CT_Cont_gfr45",NA,NA,NA,NA,1337,1337,14387,14456,0,0,NA,NA,NA
1,"main",4169984,"Scar",64,"[cbj] CT_non_Cont_gfr60",60,"[cbj] CT_Cont_gfr60",NA,NA,NA,NA,8611,8611,93161,93478,0,0,NA,NA,NA
