"database_id","target_id","comparator_id","outcome_id","analysis_id","interaction_covariate_id","covariate_id","target_mean_before","comparator_mean_before","std_diff_before","target_mean_after","comparator_mean_after","std_diff_after"
"cdmpv532_220131",3913,3912,3269,1,NA,1901,3.029,0.751,1.151,3.002,3.202,-0.079
"cdmpv532_220131",3913,3912,3269,1,NA,316139210,0.219,0.01,0.696,0.212,0.175,0.094
"cdmpv532_220131",3913,3912,3269,1,NA,16003,0.187,0.049,0.437,0.181,0.186,-0.012
"cdmpv532_220131",3913,3912,3269,1,NA,319034210,0.15,0.044,0.367,0.155,0.137,0.052
"cdmpv532_220131",3913,3912,3269,1,NA,42537730210,0.085,0.01,0.356,0.086,0.079,0.023
"cdmpv532_220131",3913,3912,3269,1,NA,15003,0.195,0.077,0.349,0.198,0.212,-0.034
"cdmpv532_220131",3913,3912,3269,1,NA,46271022210,0.081,0.014,0.321,0.075,0.08,-0.019
"cdmpv532_220131",3913,3912,3269,1,NA,17003,0.092,0.022,0.308,0.081,0.086,-0.017
"cdmpv532_220131",3913,3912,3269,1,NA,7003,0.004,0.052,-0.298,0.004,0.004,-0.003
"cdmpv532_220131",3913,3912,3269,1,NA,439846210,0.048,0.002,0.298,0.048,0.04,0.039
"cdmpv532_220131",3913,3912,3269,1,NA,6003,0.005,0.052,-0.287,0.005,0.005,0.008
"cdmpv532_220131",3913,3912,3269,1,NA,319835210,0.04,0.003,0.261,0.039,0.036,0.016
"cdmpv532_220131",3913,3912,3269,1,NA,9003,0.017,0.067,-0.253,0.017,0.016,0.006
"cdmpv532_220131",3913,3912,3269,1,NA,14003,0.162,0.081,0.251,0.168,0.163,0.013
"cdmpv532_220131",3913,3912,3269,1,NA,8003,0.012,0.055,-0.245,0.011,0.007,0.038
"cdmpv532_220131",3913,3912,3269,1,NA,321052210,0.047,0.01,0.227,0.047,0.044,0.012
"cdmpv532_220131",3913,3912,3269,1,NA,443611210,0.029,0.003,0.208,0.025,0.025,-0.002
"cdmpv532_220131",3913,3912,3269,1,NA,8507001,0.596,0.495,0.203,0.598,0.624,-0.054
"cdmpv532_220131",3913,3912,3269,1,NA,8532001,0.404,0.505,-0.203,0.402,0.376,0.054
"cdmpv532_220131",3913,3912,3269,1,NA,314378210,0.023,0.001,0.202,0.023,0.021,0.018
"cdmpv532_220131",3913,3912,3269,1,NA,4193704210,0.038,0.008,0.199,0.041,0.037,0.02
"cdmpv532_220131",3913,3912,3269,1,NA,4008576210,0.04,0.009,0.198,0.043,0.04,0.015
"cdmpv532_220131",3913,3912,3269,1,NA,373503210,0.027,0.004,0.19,0.028,0.029,-0.003
"cdmpv532_220131",3913,3912,3269,1,NA,443587210,0.019,0.001,0.19,0.02,0.014,0.048
"cdmpv532_220131",3913,3912,3269,1,NA,443580210,0.019,0.001,0.186,0.017,0.013,0.031
"cdmpv532_220131",3913,3912,3269,1,NA,18003,0.028,0.008,0.155,0.025,0.026,-0.004
"cdmpv532_220131",3913,3912,3269,1,NA,10003,0.04,0.075,-0.15,0.043,0.04,0.013
"cdmpv532_220131",3913,3912,3269,1,NA,319843210,0.014,0.001,0.143,0.013,0.011,0.025
"cdmpv532_220131",3913,3912,3269,1,NA,317585210,0.012,0.001,0.132,0.012,0.011,0.013
"cdmpv532_220131",3913,3912,3269,1,NA,314054210,0.012,0.001,0.126,0.011,0.009,0.014
"cdmpv532_220131",3913,3912,3269,1,NA,11003,0.049,0.079,-0.123,0.05,0.049,0.003
"cdmpv532_220131",3913,3912,3269,1,NA,4189343210,0.009,0.001,0.113,0.009,0.007,0.016
"cdmpv532_220131",3913,3912,3269,1,NA,443962210,0.006,0.001,0.092,0.005,0.006,-0.009
"cdmpv532_220131",3913,3912,3269,1,NA,13003,0.1,0.076,0.085,0.103,0.095,0.025
"cdmpv532_220131",3913,3912,3269,1,NA,42538119210,0.004,0.001,0.077,0.004,0.004,-0.003
"cdmpv532_220131",3913,3912,3269,1,NA,315564210,0.004,0.001,0.075,0.004,0.003,0.02
"cdmpv532_220131",3913,3912,3269,1,NA,12003,0.1,0.08,0.071,0.104,0.101,0.009
"cdmpv532_220131",3913,3912,3269,1,NA,19003,0.005,0.001,0.069,0.005,0.005,0.007
"cdmpv532_220131",3913,3912,3269,1,NA,321596210,-0.004,0.001,0.005,-0.004,0.002,-0.002
