"database_id","target_id","comparator_id","analysis_id","covariate_id","coefficient"
"cdmpv532_220131",3913,3912,1,1901,4.88734294733371
"cdmpv532_220131",3913,3912,1,4003,-4.43153414900587
"cdmpv532_220131",3913,3912,1,3,-4.40996749335596
"cdmpv532_220131",3913,3912,1,1003,-4.40711923307811
"cdmpv532_220131",3913,3912,1,0,-3.89834983037254
"cdmpv532_220131",3913,3912,1,2003,-3.75862612279916
"cdmpv532_220131",3913,3912,1,3003,-2.65128865124314
"cdmpv532_220131",3913,3912,1,5003,-2.48643221185094
"cdmpv532_220131",3913,3912,1,7003,-2.30482828830386
"cdmpv532_220131",3913,3912,1,316139210,2.04045848228556
"cdmpv532_220131",3913,3912,1,6003,-1.9357060218135
"cdmpv532_220131",3913,3912,1,8003,-1.59899674105057
"cdmpv532_220131",3913,3912,1,317585210,1.39366511965709
"cdmpv532_220131",3913,3912,1,9003,-1.38968564981801
"cdmpv532_220131",3913,3912,1,11003,-0.874167147343306
"cdmpv532_220131",3913,3912,1,4193704210,0.763739050885195
"cdmpv532_220131",3913,3912,1,319835210,-0.748966767624413
"cdmpv532_220131",3913,3912,1,4008576210,-0.745483676877226
"cdmpv532_220131",3913,3912,1,10003,-0.744917364358926
"cdmpv532_220131",3913,3912,1,443611210,0.731178627676814
"cdmpv532_220131",3913,3912,1,373503210,0.687666659665984
"cdmpv532_220131",3913,3912,1,20003,0.632310139891164
"cdmpv532_220131",3913,3912,1,319843210,0.611464621104654
"cdmpv532_220131",3913,3912,1,314378210,0.544753631155684
"cdmpv532_220131",3913,3912,1,16003,0.53220026687642
"cdmpv532_220131",3913,3912,1,443587210,0.496335335064932
"cdmpv532_220131",3913,3912,1,17003,0.480020072579011
"cdmpv532_220131",3913,3912,1,8507001,0.421093084812255
"cdmpv532_220131",3913,3912,1,19003,0.355874980341895
"cdmpv532_220131",3913,3912,1,321052210,0.324330942872002
"cdmpv532_220131",3913,3912,1,18003,0.30089645068744
"cdmpv532_220131",3913,3912,1,42537730210,0.297069360466022
"cdmpv532_220131",3913,3912,1,13003,-0.270550107962281
"cdmpv532_220131",3913,3912,1,46271022210,-0.260241476304372
"cdmpv532_220131",3913,3912,1,12003,-0.229690138921158
"cdmpv532_220131",3913,3912,1,15003,0.19973707448487
"cdmpv532_220131",3913,3912,1,319034210,0.180173981108723
"cdmpv532_220131",3913,3912,1,443580210,0.109514642186608
"cdmpv532_220131",3913,3912,1,439846210,0.0704186221220348
"cdmpv532_220131",3913,3912,1,314054210,0.0363187287723819
