,source,target_id,comparator_id,outcome_id,rr,ci_95_lb,ci_95_ub,p,target_subjects,comparator_subjects,target_outcomes,comparator_outcomes,target_no_outcomes,comparator_no_outcomes
0,leewha,3913,3912,3269,0.761,0.492,1.142,0.204,3148,11561,31,132,3117,11429
0,kyeonghee,3913,3912,3269,1.04,0.805,1.332,0.76,2581,9073,98,256,2483,8817
0,kangwom,3913,3912,3269,0.994,0.763,1.283,0.961,1377,4760,84,268,1293,4492
0,kandongseongsim,3913,3912,3269,0.864,0.645,1.143,0.315,1826,6253,69,222,1757,6031
0,gyeongsangchangwon,3913,3912,3269,1.169,0.582,2.223,0.648,313,1177,13,35,300,1142
0,kandongkyunghee,3913,3912,3269,1.167,0.878,1.535,0.279,1505,5633,75,218,1430,5415
0,gyeongsang,3913,3912,3269,1.05,0.828,1.321,0.681,2259,8600,102,352,2157,8248
0,deagucatholic,3913,3912,3269,0.942,0.734,1.2,0.634,3287,10884,95,289,3192,10595
0,ajou,3913,3912,3269,1.449,1.248,1.68,0.0,4584,15760,305,628,4279,15132
0,pusan,3913,3912,3269,2.666,2.226,3.19,0.0,1724,6205,233,354,1491,5851
0,Samsung,-999,-999,-999,1.0,0.0,1.0,1.0,7839,7839,1746,1558,6093,6281
